Phi,P,variable,value,SD
0.85,0.3,Resident,0.030356853,0.011251461
0.85,0.4,Resident,0.052062307,0.013703676
0.85,0.5,Resident,0.071384056,0.015159859
0.85,0.6,Resident,0.100246009,0.019013506
0.85,0.7,Resident,0.10795721,0.017279094
0.85,0.8,Resident,0.118483301,0.018437637
0.85,0.9,Resident,0.119833319,0.020049895
0.85,1,Resident,0.123733333,0.018442619
0.9,0.01,Resident,0,0
0.9,0.1,Resident,0.002383885,0.003723372
0.9,0.2,Resident,0.019194451,0.009644089
0.9,0.3,Resident,0.053945865,0.014130129
0.9,0.4,Resident,0.094040975,0.017641831
0.9,0.5,Resident,0.141290338,0.021284784
0.9,0.6,Resident,0.170064678,0.021875451
0.9,0.7,Resident,0.190762054,0.022210318
0.9,0.8,Resident,0.217321834,0.02271185
0.9,0.9,Resident,0.217648409,0.024140189
0.9,1,Resident,0.222733333,0.022959389
0.95,0.01,Resident,0,0
0.95,0.1,Resident,0.004812987,0.005394534
0.95,0.2,Resident,0.035449754,0.012545522
0.95,0.3,Resident,0.09374025,0.018422014
0.95,0.4,Resident,0.171967091,0.023097203
0.95,0.5,Resident,0.23785928,0.024825405
0.95,0.6,Resident,0.275511136,0.024359236
0.95,0.7,Resident,0.313716575,0.029053247
0.95,0.8,Resident,0.33017798,0.025095737
0.95,0.9,Resident,0.340017055,0.029069574
0.95,1,Resident,0.3422,0.027573878
1,0.01,Resident,0,0
1,0.1,Resident,0.009178999,0.005447118
1,0.2,Resident,0.072130706,0.01789212
1,0.3,Resident,0.174131021,0.019098944
1,0.4,Resident,0.283778715,0.02487283
1,0.5,Resident,0.352680472,0.030687001
1,0.6,Resident,0.369490024,0.026014006
1,0.7,Resident,0.402772837,0.029434557
1,0.8,Resident,0.379720246,0.026668329
1,0.9,Resident,0.380013373,0.031370706
1,1,Resident,0.3774,0.02521993
