"Phi","P","variable","value","SE"
".70",".01","Resident",0,0
".70",".1","Resident",0.00424379024178403,0.00768623854161925
".70",".2","Resident",0.0273494785517235,0.0138620070635656
".70",".3","Resident",0.0596641448149754,0.0187501575541835
".70",".4","Resident",0.0940807075013059,0.0195004267076548
".70",".5","Resident",0.135245522667359,0.020530884586925
".70",".6","Resident",0.180677448012659,0.0261996174422404
".70",".7","Resident",0.212467425520547,0.0264184330506747
".70",".8","Resident",0.252016363211711,0.0266612720123787
".70",".9","Resident",0.287958336729196,0.0268798044669891
".70","1","Resident",0.319933333333333,0.0282643446095343
".75",".01","Resident",0,0
".75",".1","Resident",0.0092985982291287,0.0102673958520256
".75",".2","Resident",0.0411314050286165,0.0172635837365013
".75",".3","Resident",0.0871445926333436,0.0241425492574986
".75",".4","Resident",0.142268742717683,0.0226229481670161
".75",".5","Resident",0.193114383637954,0.0247444285805834
".75",".6","Resident",0.235453927120436,0.0259009335993038
".75",".7","Resident",0.279325049812416,0.0293470743112201
".75",".8","Resident",0.321444545855112,0.0263527856548716
".75",".9","Resident",0.353369313518323,0.0287933291502954
".75","1","Resident",0.390933333333333,0.0294928323579447
".80",".01","Resident",0,0
".80",".1","Resident",0.0150477247253757,0.012176956641814
".80",".2","Resident",0.0710085389800623,0.0197348327942064
".80",".3","Resident",0.13451085193174,0.022441021180771
".80",".4","Resident",0.193477550137229,0.0243241998690158
".80",".5","Resident",0.255530348427321,0.0239621818720076
".80",".6","Resident",0.311142960832551,0.0271961022154399
".80",".7","Resident",0.362838005520863,0.0299564565805324
".80",".8","Resident",0.403333815659132,0.03031471415831
".80",".9","Resident",0.437683147254904,0.0301631646365228
".80","1","Resident",0.4687,0.0276376059293118
".85",".01","Resident",0,0
".85",".1","Resident",0.0308327044646539,0.0156248215145558
".85",".2","Resident",0.112030012636589,0.026239899614771
".85",".3","Resident",0.199379659822657,0.0267467400409763
".85",".4","Resident",0.282543070073492,0.0273376851801143
".85",".5","Resident",0.345417648944296,0.0286602083517069
".85",".6","Resident",0.41077351335873,0.0332204483203691
".85",".7","Resident",0.455024453511767,0.0304764256440457
".85",".8","Resident",0.498246201042865,0.0284409943244414
".85",".9","Resident",0.533829027109407,0.0298180689970953
".85","1","Resident",0.561133333333333,0.0249453724153052
".90",".01","Resident",0,0
".90",".1","Resident",0.0565559248470249,0.019146080952557
".90",".2","Resident",0.190045733842311,0.0292800694330387
".90",".3","Resident",0.298368247648248,0.0272216099215053
".90",".4","Resident",0.393091494289889,0.031770294258581
".90",".5","Resident",0.473322943615059,0.0310008621897106
".90",".6","Resident",0.524235025557583,0.0301434284486859
".90",".7","Resident",0.572842840224119,0.0294425806551264
".90",".8","Resident",0.617252525096206,0.0298732000179907
".90",".9","Resident",0.644303067511799,0.0302994676129576
".90","1","Resident",0.675233333333333,0.0246331330892204
".95",".01","Resident",0,0
".95",".1","Resident",0.119677906628525,0.0247592802839069
".95",".2","Resident",0.313671159907864,0.0336232132165204
".95",".3","Resident",0.455894928851338,0.0299417839841803
".95",".4","Resident",0.566834888720353,0.0286932663281084
".95",".5","Resident",0.637075238564216,0.0257023380049829
".95",".6","Resident",0.679233359294192,0.0267458638898016
".95",".7","Resident",0.721795905630086,0.0294269225009577
".95",".8","Resident",0.749902778573835,0.0250207915862314
".95",".9","Resident",0.776567885484094,0.0235192473905994
".95","1","Resident",0.793833333333333,0.0233327320749854
"1",".01","Resident",0.00135323924891594,0.00499552932643053
"1",".1","Resident",0.259904430501668,0.0331858023029136
"1",".2","Resident",0.595469140539732,0.0303482496286433
"1",".3","Resident",0.722560692563166,0.0258907218862928
"1",".4","Resident",0.807949369828878,0.0206571835995939
"1",".5","Resident",0.840558289756192,0.0233552932610731
"1",".6","Resident",0.867744957437489,0.020476431559115
"1",".7","Resident",0.883636012180354,0.023008737395558
"1",".8","Resident",0.903618624257982,0.0180512049609897
"1",".9","Resident",0.916018367748234,0.0164635093300765
"1","1","Resident",0.9269,0.0157081619680031
